"last_name, first_name","player_id","year","player_age","ab","pa","hit","home_run","strikeout","k_percent","bb_percent","batting_avg","on_base_percent","b_rbi","b_game"
"Guerrero Jr., Vladimir","665489","2024","25","616","697","199","30","96",13.8,10.3,".323",".396","103","159"
"Witt Jr., Bobby","677951","2024","24","636","709","211","32","106",15,8,".332",".389","109","161"
"Ramírez, José","608070","2024","31","620","682","173","39","82",12,7.9,".279",".335","118","158"
"Hoskins, Rhys","656555","2024","31","449","517","96","26","149",28.8,10.3,".214",".303","82","131"
"Varsho, Daulton","662139","2024","27","459","513","98","18","137",26.7,9.4,".214",".293","58","136"
"O'Hoppe, Logan","681351","2024","24","479","522","117","20","155",29.7,6.3,".244",".303","56","136"
"Winker, Jesse","608385","2024","30","430","508","109","14","106",20.9,12.4,".253",".360","58","145"
"Cowser, Colton","681297","2024","24","499","561","121","24","172",30.7,9.3,".242",".321","69","153"
"Busch, Michael","683737","2024","26","496","567","123","21","162",28.6,11.1,".248",".335","65","152"
"Thomas, Lane","657041","2024","28","472","528","112","15","137",25.9,8.3,".237",".309","63","130"
"Stephenson, Tyler","663886","2024","27","457","515","118","19","117",22.7,9.3,".258",".338","66","138"
"Meyers, Jake","676694","2024","28","461","513","101","13","117",22.8,6.8,".219",".286","61","148"
"Sánchez, Jesús","660821","2024","26","489","537","123","18","140",26.1,7.6,".252",".313","64","149"
"Walker, Christian","572233","2024","33","479","552","120","26","133",24.1,10,".251",".335","84","130"
"Soler, Jorge","624585","2024","32","493","574","119","21","141",24.6,11.8,".241",".338","64","142"
"Suzuki, Seiya","673548","2024","29","512","585","145","21","160",27.4,10.8,".283",".366","73","132"
"Lowe, Nathaniel","663993","2024","28","486","565","129","16","125",22.1,12.6,".265",".361","69","140"
"France, Ty","664034","2024","29","479","535","112","13","114",21.3,7.1,".234",".305","51","140"
"Turner, Justin","457759","2024","39","460","539","119","11","95",17.6,10.9,".259",".354","55","139"
"Rooker Jr., Brent","667670","2024","29","546","614","160","39","177",28.8,9.6,".293",".365","112","145"
"Smith, Will","669257","2024","29","476","544","118","20","105",19.3,9.4,".248",".327","75","128"
"Langford, Wyatt","694671","2024","22","499","557","126","16","115",20.6,9.2,".253",".325","74","134"
"Burger, Jake","669394","2024","28","535","579","134","29","150",25.9,5.4,".250",".301","76","137"
"Vierling, Matt","663837","2024","27","518","567","133","16","121",21.3,7.2,".257",".312","57","144"
"Hernández, Teoscar","606192","2024","31","589","652","160","33","188",28.8,8.1,".272",".339","99","154"
"Smith, Josh","669701","2024","26","523","592","135","13","121",20.4,7.8,".258",".337","62","149"
"Marte, Ketel","606466","2024","30","504","583","147","36","106",18.2,11.1,".292",".372","95","136"
"Turner, Trea","607208","2024","31","505","539","149","21","98",18.2,5,".295",".338","62","121"
"Chisholm Jr., Jazz","665862","2024","26","562","621","144","24","152",24.5,8.5,".256",".324","73","147"
"Rodríguez, Julio","677594","2024","23","567","613","155","20","156",25.4,6.2,".273",".325","68","143"
"Castro, Willi","650489","2024","27","558","635","138","12","150",23.6,8,".247",".331","60","158"
"García, Luis","671277","2024","24","500","528","141","18","86",16.3,5.1,".282",".318","70","140"
"Gurriel Jr., Lourdes","666971","2024","30","513","553","143","18","101",18.3,5.2,".279",".322","75","133"
